neighborhood,year,acres,mean_coverage,median_coverage,std_coverage,percent_area_with_trees,area_high_canopy,estimated_trees,trees_per_acre,change_from_previous,change_from_2011
Allentown,2011,213.47,5.92,0.0,9.3,32.82,0.07,42.39,0.2,,0.0
Allentown,2012,213.47,5.94,0.0,9.33,32.82,0.07,42.39,0.2,0.02,0.02
Allentown,2013,213.47,5.95,0.0,9.37,32.75,0.07,42.3,0.2,0.01,0.03
Allentown,2014,213.47,5.95,0.0,9.37,32.82,0.07,42.39,0.2,0.01,0.03
Allentown,2015,213.47,6.0,0.0,9.35,33.24,0.07,42.93,0.2,0.04,0.08
Allentown,2016,213.47,5.68,0.0,9.12,32.06,0.07,41.4,0.19,-0.31,-0.24
Allentown,2017,213.47,5.53,0.0,9.16,30.87,0.14,39.87,0.19,-0.15,-0.38
Allentown,2018,213.47,5.32,0.0,9.04,29.69,0.14,38.34,0.18,-0.22,-0.6
Allentown,2019,213.47,5.17,0.0,9.01,28.78,0.14,37.17,0.17,-0.14,-0.75
Allentown,2020,213.47,4.97,0.0,8.92,27.6,0.14,35.64,0.17,-0.2,-0.95
Allentown,2021,213.47,4.84,0.0,8.92,26.48,0.14,34.2,0.16,-0.13,-1.08
Black Rock,2011,388.29,5.06,0.0,8.57,30.54,0.14,96.48,0.25,,0.0
Black Rock,2012,388.29,5.06,0.0,8.64,30.4,0.23,96.03,0.25,-0.0,-0.0
Black Rock,2013,388.29,5.05,0.0,8.67,30.37,0.23,95.94,0.25,-0.01,-0.01
Black Rock,2014,388.29,5.09,0.0,8.86,30.34,0.28,95.85,0.25,0.04,0.03
Black Rock,2015,388.29,5.12,0.0,8.91,30.46,0.31,96.21,0.25,0.03,0.06
Black Rock,2016,388.29,4.87,0.0,8.99,28.97,0.54,91.53,0.24,-0.25,-0.19
Black Rock,2017,388.29,4.31,0.0,8.85,25.1,0.54,79.29,0.2,-0.56,-0.75
Black Rock,2018,388.29,4.26,0.0,8.95,24.76,0.63,78.21,0.2,-0.05,-0.81
Black Rock,2019,388.29,4.16,0.0,9.09,23.68,0.68,74.79,0.19,-0.1,-0.91
Black Rock,2020,388.29,4.17,0.0,9.36,23.19,0.74,73.26,0.19,0.01,-0.9
Black Rock,2021,388.29,4.2,0.0,9.75,22.51,0.85,71.1,0.18,0.03,-0.87
Broadway Fillmore,2011,1440.24,7.98,9.0,8.84,51.35,0.03,400.68,0.28,,0.0
Broadway Fillmore,2012,1440.24,7.96,9.0,8.85,51.15,0.05,399.15,0.28,-0.02,-0.02
Broadway Fillmore,2013,1440.24,7.9,8.0,8.86,50.74,0.05,395.91,0.27,-0.06,-0.08
Broadway Fillmore,2014,1440.24,7.79,0.0,8.86,49.98,0.05,389.97,0.27,-0.11,-0.19
